name,country,designation,polyID,point,Acanthixalus_spinosus,Afrixalus_dorsalis,Afrixalus_fulvovittatus,Afrixalus_laevis,Afrixalus_paradorsalis,Afrixalus_quadrivittatus,Afrixalus_vittiger,Afrixalus_weidholzi,Alexteroon_hypsiphonus,Amietophrynus_camerunensis,Amietophrynus_djohongensis,Amietophrynus_gracilipes,Amietophrynus_latifrons,Amietophrynus_maculatus,Amietophrynus_regularis,Amietophrynus_steindachneri,Amietophrynus_superciliaris,Amietophrynus_togoensis,Amietophrynus_tuberosus,Amietophrynus_xeros,Arthroleptis_adelphus,Arthroleptis_poecilonotus,Arthroleptis_sylvaticus,Arthroleptis_variabilis,Astylosternus_diadematus,Astylosternus_laurenti,Astylosternus_montanus,Astylosternus_occidentalis,Astylosternus_rheophilus,Aubria_occidentalis,Bufo_pentoni,Cardioglossa_gracilis,Cardioglossa_leucomystax,Cardioglossa_nigromaculata,Cardioglossa_pulchra,Chiromantis_rufescens,Chlorolius_koehleri,Conraua_alleni,Conraua_crassipes,Conraua_robusta,Geotrypetes_seraphini,Hemisus_guineensis,Hemisus_marmoratus,Herpele_squalostoma,Hildebrandtia_ornata,Hoplobatrachus_occipitalis,Hylarana_albolabris,Hylarana_amnicola,Hylarana_asperrima,Hylarana_galamensis,Hylarana_lepus,Hylarana_longipes,Hylarana_occidentalis,Hymenochirus_boettgeri,Hyperolius_balfouri,Hyperolius_baumanni,Hyperolius_bolifambae,Hyperolius_chlorosteus,Hyperolius_concolor,Hyperolius_fusciventris,Hyperolius_guttulatus,Hyperolius_igbettensis,Hyperolius_lamottei,Hyperolius_nasutus,Hyperolius_nitidulus,Hyperolius_ocellatus,Hyperolius_picturatus,Hyperolius_riggenbachi,Hyperolius_tuberculatus,Hyperolius_viridiflavus,Hyperolius_zonatus,Idiocranium_russeli,Kassina_arboricola,Kassina_cassinoides,Kassina_fusca,Kassina_maculosa,Kassina_schioetzi,Kassina_senegalensis,Leptodactylodon_bicolor,Leptodactylodon_ovatus,Leptodactylodon_perreti,Leptodactylodon_polyacanthus,Leptopelis_aubryi,Leptopelis_boulengeri,Leptopelis_brevirostris,Leptopelis_bufonides,Leptopelis_calcaratus,Leptopelis_macrotis,Leptopelis_millsoni,Leptopelis_modestus,Leptopelis_nordequatorialis,Leptopelis_notatus,Leptopelis_occidentalis,Leptopelis_omissus,Leptopelis_viridis,Nectophryne_afra,Nectophryne_batesii,Nyctibates_corrugatus,Opisthothylax_immaculatus,Petropedetes_natator,Petropedetes_newtoni,Petropedetes_parkeri,Phlyctimantis_boulengeri,Phrynobatrachus_africanus,Phrynobatrachus_alleni,Phrynobatrachus_auritus,Phrynobatrachus_batesii,Phrynobatrachus_calcaratus,Phrynobatrachus_cornutus,Phrynobatrachus_cricogaster,Phrynobatrachus_francisci,Phrynobatrachus_fraterculus,Phrynobatrachus_guineensis,Phrynobatrachus_gutturosus,Phrynobatrachus_hylaios,Phrynobatrachus_latifrons,Phrynobatrachus_liberiensis,Phrynobatrachus_natalensis,Phrynobatrachus_phyllophilus,Phrynobatrachus_plicatus,Phrynobatrachus_sandersoni,Phrynobatrachus_steindachneri,Phrynobatrachus_tokba,Phrynobatrachus_villiersi,Phrynobatrachus_werneri,Phrynomantis_microps,Ptychadena_aequiplicata,Ptychadena_bibroni,Ptychadena_longirostris,Ptychadena_oxyrhynchus,Ptychadena_pujoli,Ptychadena_pumilio,Ptychadena_schillukorum,Ptychadena_stenocephala,Ptychadena_straeleni,Ptychadena_superciliaris,Ptychadena_tellinii,Ptychadena_tournieri,Ptychadena_trinodis,Pyxicephalus_edulis,Scotobleps_gabonicus,Silurana_tropicalis,Tomopterna_cryptotis,Xenopus_fraseri,Xenopus_laevis,Xenopus_muelleri,WDPAID,iucn_cat
Abak River,NGA,Forest Reserve,725,polygon,None,None,None,None,None,NC,None,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,NC,None,NC,NC,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,Inc,None,None,None,NC,None,NC,NC,None,NC,None,None,NC,NC,36673,Not Reported
Abasumba,GHA,Forest Reserve,12,polygon,None,Dec,None,None,None,None,Inc,None,None,None,None,None,None,Dec,Dec,None,None,NC,None,None,None,Dec,None,Dec,None,None,None,None,None,Dec,None,None,Dec,None,None,NC,None,None,None,None,Dec,Dec,None,None,None,Dec,Dec,None,None,NC,None,None,NC,None,None,None,None,None,NC,Dec,Dec,NC,None,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,Inc,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,None,NC,None,NC,NC,None,None,NC,None,None,None,NC,None,None,Dec,Dec,NC,Dec,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,26456,Not Reported
Abba Isari,NGA,Forest Reserve,558,polygon,None,None,None,None,None,Inc,None,Inc,None,None,None,None,None,Dec,Inc,Inc,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,Dec,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,Inc,None,None,None,None,None,None,None,NC,None,NC,None,Inc,None,NC,NC,None,None,None,NC,None,Inc,NC,None,NC,NC,None,NC,Dec,36497,Not Reported
Abdoulaye,TGO,Faunal Reserve,30,polygon,None,Inc,None,None,None,None,NC,NC,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,NC,None,None,NC,Inc,None,None,NC,None,None,None,None,None,NC,None,None,Dec,Inc,Inc,Dec,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,NC,None,Dec,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,None,None,None,None,NC,None,Inc,None,None,NC,None,None,None,NC,20978,IV
Abeanou,CIV,Classified Forest,64,polygon,None,NC,None,None,None,None,NC,NC,None,None,None,None,None,Dec,Dec,None,None,NC,None,None,None,Dec,None,Dec,None,None,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,NC,Dec,Inc,None,None,NC,Dec,None,None,NC,None,None,None,None,None,None,None,None,NC,Dec,Dec,NC,None,None,Dec,None,NC,None,None,None,None,None,NC,None,None,None,NC,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,None,None,NC,None,NC,None,None,Dec,None,None,Inc,None,None,NC,None,NC,NC,NC,None,NC,None,None,None,NC,None,Dec,Dec,Dec,NC,Inc,None,NC,None,None,None,NC,None,Dec,None,None,None,Dec,None,None,None,None,300869,Not Reported
Abisu,GHA,Forest Reserve,81,polygon,None,NC,None,None,None,None,NC,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,None,Dec,NC,None,None,NC,Dec,None,None,NC,None,None,NC,None,None,None,None,None,NC,Dec,NC,NC,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,None,NC,None,NC,None,Inc,None,None,None,None,None,None,None,Inc,Inc,NC,NC,Dec,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,40781,Not Reported
Aboben Hill,GHA,Forest Reserve,249,polygon,None,NC,None,None,None,None,NC,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,Inc,NC,NC,None,None,NC,Dec,None,None,NC,None,None,None,None,None,NC,None,None,NC,NC,NC,NC,None,None,NC,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,None,None,Inc,Dec,NC,NC,Dec,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,26451,Not Reported
Abokouamekro,CIV,National Reserve,239,polygon,None,NC,None,None,None,None,NC,Inc,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,Dec,None,Dec,None,None,None,None,None,NC,None,None,None,None,None,Inc,None,None,None,None,NC,Dec,Inc,None,None,NC,Dec,None,None,NC,None,None,None,None,None,None,None,None,NC,Dec,Dec,NC,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,None,NC,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,None,None,NC,None,NC,None,None,NC,None,None,NC,None,None,NC,None,NC,NC,NC,None,NC,None,None,None,None,None,Dec,Inc,Dec,NC,Dec,None,NC,None,None,None,NC,None,NC,None,None,None,NC,None,None,None,None,555547525,IV
Aboma,GHA,Forest Reserve,66,polygon,None,NC,None,None,None,None,NC,Inc,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,NC,None,NC,None,None,None,None,None,Inc,None,None,None,None,None,NC,None,None,None,None,None,Dec,NC,None,None,NC,Dec,None,None,NC,None,None,None,None,None,None,None,None,NC,Inc,NC,NC,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,None,NC,None,NC,None,NC,None,None,None,None,None,None,None,NC,Inc,NC,NC,Dec,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,40766,Not Reported
Abou Telfane,TCD,Faunal Reserve,6,polygon,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,NC,None,Inc,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,Inc,None,None,None,NC,None,None,None,9034,IV
