WDPA_ID,WDPA_NAME,COUNT_TOTAL_SPECIES,COUNT_CC_VULNERABLE_SPECIES,PERCENT_CC_VULNERABLE_SPECIES
597,Boucle de la Pendjari,599,60,10.02
641,Zakouma,408,55,13.48
642,Manda,508,62,12.20
669,Mole,656,70,10.67
670,Digya,754,107,14.19
671,Bui,671,86,12.82
672,Bia,704,124,17.61
721,Taï,752,139,18.48
722,Marahoue,782,120,15.35
723,Mont Sangbe,677,95,14.03
724,Mont Peko,715,124,17.34
725,Banco,710,137,19.30
818,W du Niger,570,71,12.46
819,Kainji Lake,664,76,11.45
865,Niokolo Koba,680,69,10.15
866,Delta du Saloum,642,77,11.99
867,Oiseaux de Djoudj,471,76,16.14
868,Basse-Casamance,593,66,11.13
869,Langue de Barbarie,492,77,15.65
1048,W du Burkina Faso,595,70,11.76
1049,Kabore-Tambi,550,62,11.27
1250,Ouadi-Rimé-Ouadi Achim,2,0,0.00
1293,Haut Bandama,625,71,11.36
1295,Mount Nimba,818,151,18.46
1332,Yankari,608,60,9.87
1543,Kogyae,648,92,14.20
2252,Djona,566,66,11.66
2253,Pendjari,602,62,10.30
2254,Atakora,592,65,10.98
2288,River Gambia,606,63,10.40
2289,Kiang West,650,72,11.08
2290,Niumi,638,77,12.07
2293,N'Zo,724,137,18.92
2321,Gourma,69,26,37.68
2322,Badinko,476,53,11.13
2324,Kongossambougou,430,52,12.09
2325,Kéniébaoulé,579,66,11.40
2327,Ansongo Menaka,39,13,33.33
2328,Baoulé,484,59,12.19
2329,Fina,507,55,10.85
2331,Tamou,541,69,12.75
2332,Ferlo-Sud,480,60,12.50
2333,Ferlo-Nord,434,74,17.05
2339,Kéran,633,63,9.95
2340,Fazao-Malfakassa,714,87,12.18
2341,Togodo,652,89,13.65
2342,Fosse aux Lions,589,61,10.36
2344,Deux Bales,552,73,13.22
2578,Djoudj National Bird Sanctuary,473,76,16.07
2580,Niokolo-Koba National Park,680,69,10.15
3213,Sousan,542,60,11.07
3214,Abuko,637,73,11.46
3225,Sahel,35,13,37.14
3226,Kourtiagou,566,60,10.60
3228,Pama,593,67,11.30
3229,Singou,559,60,10.73
3230,Gadabedji,264,50,18.94
4488,Arly,578,60,10.38
4489,Bontioli,559,65,11.63
5003,Taï National Park,747,139,18.61
5150,Bia,704,124,17.61
5151,Shai Hills,702,116,16.52
5152,Kalakpa,695,99,14.24
5153,Gbele,573,56,9.77
5154,Owabi,688,118,17.15
5155,Bomfobiri,655,104,15.88
5156,Kuyambana,597,71,11.89
5157,Kétou,578,76,13.15
5158,La Lama Nord,638,99,15.52
5159,Agrimey,626,96,15.34
5160,Atchérigbé,722,95,13.16
5161,Djigbé,624,94,15.06
5162,Ouémé Boukou,565,63,11.15
5164,Bahr Salamat,52,16,30.77
5165,Siniaka-Minia,489,75,15.34
5166,Mandelia,551,90,16.33
