"","name","country","polyID","designation","point","iucn_cat","WDPAID","median","upper","lower"
"1","Abak River","NGA",725,"Forest Reserve","polygon","Not Reported",36673,0.297,0.455,0.202
"2","Abasumba","GHA",12,"Forest Reserve","polygon","Not Reported",26456,0.596,0.707,0.502
"3","Abba Isari","NGA",558,"Forest Reserve","polygon","Not Reported",36497,0.273,0.379,0.143
"4","Abdoulaye","TGO",30,"Faunal Reserve","polygon","IV",20978,0.324,0.491,0.212
"5","Abeanou","CIV",64,"Classified Forest","polygon","Not Reported",300869,0.513,0.682,0.346
"6","Abisu","GHA",81,"Forest Reserve","polygon","Not Reported",40781,0.414,0.647,0.321
"7","Aboben Hill","GHA",249,"Forest Reserve","polygon","Not Reported",26451,0.375,0.554,0.309
"8","Abokouamekro","CIV",239,"National Reserve","polygon","IV",555547525,0.524,0.699,0.386
"9","Aboma","GHA",66,"Forest Reserve","polygon","Not Reported",40766,0.45,0.633,0.328
"10","Abou Telfane","TCD",6,"Faunal Reserve","polygon","IV",9034,0.31,0.47,0.244
"11","Abouderessou","CIV",18,"Classified Forest","polygon","Not Reported",29534,0.539,0.728,0.388
"12","Abrimasu","GHA",67,"Forest Reserve","polygon","Not Reported",40767,0.45,0.633,0.328
"13","Abuko Buffer","GMB",9,"Nature Reserve","polygon","Not Reported",555547523,0.536,0.754,0.335
"14","Abuko","GMB",4,"Nature Reserve","polygon","IV",3214,0.536,0.754,0.335
"15","Aburifa","NGA",802,"Forest Reserve","polygon","Not Reported",36752,0.383,0.647,0.197
"16","Abutia Hills","GHA",182,"Forest Reserve","polygon","Not Reported",26440,0.444,0.664,0.361
"17","Achalla","NGA",121,"Forest Reserve","polygon","Not Reported",36953,0.465,0.588,0.398
"18","Achara Ihe","NGA",185,"Forest Reserve","polygon","Not Reported",37021,0.471,0.563,0.384
"19","Acharane","NGA",47,"Forest Reserve","polygon","Not Reported",36858,0.445,0.639,0.344
"20","Adaki","NGA",820,"Forest Reserve","polygon","Not Reported",36770,0.358,0.58,0.26
"21","Adankolo","NGA",864,"Forest Reserve","polygon","Not Reported",36845,0.34,0.55,0.242
"22","Addax Sanctuary","NER",6,"Strict Nature Reserve","polygon","Ia",72350,0.246,0.304,0.179
"23","Adiani","NGA",340,"Forest Reserve","polygon","Not Reported",36268,0.386,0.609,0.237
"24","Adoru","NGA",49,"Forest Reserve","polygon","Not Reported",36860,0.428,0.615,0.344
"25","Adzope","CIV",87,"Classified Forest","polygon","Not Reported",300911,0.508,0.694,0.396
"26","Afaka","NGA",617,"Forest Reserve","polygon","Not Reported",36562,0.2,0.334,0.14
"27","Afao Hills","GHA",137,"Forest Reserve","polygon","Not Reported",40845,0.425,0.63,0.338
"28","Afi Mountain","NGA",205,"Wildlife Sanctuary","polygon","Not Reported",354003,0.448,0.575,0.355
"29","Afi River","NGA",90,"Forest Reserve","polygon","Not Reported",36919,0.438,0.568,0.351
"30","Afia Shelterbelt","GHA",21,"Forest Reserve","polygon","Not Reported",40672,0.469,0.641,0.363
"31","Afram Headwaters","GHA",68,"Forest Reserve","polygon","Not Reported",40768,0.425,0.614,0.314
"32","Afrensu Bohuma","GHA",69,"Forest Reserve","polygon","Not Reported",40769,0.436,0.623,0.339
"33","Agaie Gate","NGA",681,"Forest Reserve","polygon","Not Reported",36629,0.343,0.622,0.235
"34","Agala","NGA",91,"Forest Reserve","polygon","Not Reported",36921,0.474,0.611,0.375
"35","Agbaja","NGA",819,"Forest Reserve","polygon","Not Reported",36769,0.357,0.576,0.261
"36","Agbo","CIV",79,"Classified Forest","polygon","Not Reported",300895,0.538,0.707,0.408
"37","Agbonou-Nord","TGO",31,"Forest Reserve","polygon","Not Reported",37119,0.268,0.382,0.185
"38","Agbun","NGA",779,"Forest Reserve","polygon","Not Reported",36729,0.421,0.629,0.207
"39","Ago-Owu","NGA",30,"Forest Reserve","polygon","Not Reported",36818,0.428,0.555,0.348
"40","Agoi","NGA",176,"Forest Reserve","polygon","Not Reported",37012,0.471,0.563,0.384
"41","Agou","TGO",2,"Forest Reserve","polygon","Not Reported",37121,0.399,0.571,0.294
"42","Agoua","BEN",18,"Classified Forest","polygon","Not Reported",7957,0.351,0.575,0.235
"43","Agrimey","BEN",2,"Classified Forest","polygon","Not Reported",5159,0.427,0.56,0.303
"44","Aguara","NGA",132,"Forest Reserve","polygon","Not Reported",36964,0.505,0.632,0.417
"45","Aguobu Owa","NGA",125,"Forest Reserve","polygon","Not Reported",36957,0.505,0.632,0.417
"46","Ahirasu Blocks I & II","GHA",10,"Forest Reserve","polygon","Not Reported",26454,0.596,0.707,0.502
"47","Ahua","CIV",23,"Classified Forest","polygon","Not Reported",29580,0.526,0.721,0.336
"48","Air and Tenere Natural Reserves","NER",13,"World Heritage Site","polygon","Not Applicable",67727,0.247,0.309,0.187
"49","Air and Tenere","NER",4,"National Nature Reserve","polygon","IV",9024,0.252,0.317,0.191
"50","Aiyaola","GHA",92,"Forest Reserve","polygon","Not Reported",40792,0.449,0.634,0.353
"51","Ajaokuta","NGA",967,"Forest Reserve","polygon","Not Reported",36847,0.377,0.575,0.286
"52","Ajenjua Bepo","GHA",93,"Forest Reserve","polygon","Not Reported",40793,0.439,0.641,0.351
"53","Ajigin","NGA",500,"Forest Reserve","polygon","Not Reported",36439,0.28,0.396,0.148
"54","Ajuesu","GHA",39,"Forest Reserve","polygon","Not Reported",40691,0.471,0.608,0.399
"55","Akanga","NGA",793,"Forest Reserve","polygon","Not Reported",36743,0.393,0.638,0.245
"56","Akanto","NGA",190,"Forest Reserve","polygon","Not Reported",37026,0.487,0.611,0.415
"57","Akerre","NGA",640,"Forest Reserve","polygon","Not Reported",36586,0.362,0.608,0.202
"58","Ako","NGA",537,"Forest Reserve","polygon","Not Reported",36476,0.284,0.418,0.14
"59","Akobiwho","NGA",878,"Forest Reserve","polygon","Not Reported",36872,0.418,0.638,0.259
"60","Akpaka","NGA",130,"Forest Reserve","polygon","Not Reported",36962,0.465,0.588,0.398
"61","Akpatakum","NGA",871,"Forest Reserve","polygon","Not Reported",36853,0.388,0.586,0.29
"62","Akpugo","NGA",113,"Forest Reserve","polygon","Not Reported",36945,0.444,0.609,0.361
"63","Akrobong","GHA",11,"Forest Reserve","polygon","Not Reported",26455,0.596,0.707,0.502
"64","Akumazi","NGA",117,"Forest Reserve","polygon","Not Reported",36949,0.457,0.594,0.385
