wdpa_id,taxon_class,vulnerable_species,non_vulnerable_species,total_species
597,Amphibian,4,26,30
597,Bird,34,327,361
597,Mammal,5,102,107
597,Reptile,6,55,61
597,fw_fish,11,29,40
641,Amphibian,2,12,14
641,Bird,36,246,282
641,Mammal,9,65,74
641,Reptile,5,16,21
641,fw_fish,3,14,17
642,Amphibian,2,22,24
642,Bird,30,278,308
642,Mammal,8,82,90
642,Reptile,3,24,27
642,fw_fish,19,40,59
669,Amphibian,4,26,30
669,Bird,34,338,372
669,Mammal,9,117,126
669,Reptile,2,64,66
669,fw_fish,21,41,62
670,Amphibian,1,27,28
670,Bird,60,320,380
670,Mammal,11,137,148
670,Reptile,6,80,86
670,fw_fish,29,83,112
671,Amphibian,4,24,28
671,Bird,53,317,370
671,Mammal,9,136,145
671,Reptile,3,72,75
671,fw_fish,17,36,53
672,Amphibian,0,38,38
672,Bird,92,273,365
672,Mammal,15,125,140
672,Reptile,8,63,71
672,fw_fish,9,81,90
721,Amphibian,2,55,57
721,Bird,96,278,374
721,Mammal,14,131,145
721,Reptile,13,69,82
721,fw_fish,14,80,94
722,Amphibian,2,38,40
722,Bird,92,349,441
722,Mammal,11,142,153
722,Reptile,7,70,77
722,fw_fish,8,63,71
723,Amphibian,1,32,33
723,Bird,72,316,388
723,Mammal,8,128,136
723,Reptile,6,58,64
723,fw_fish,8,48,56
724,Amphibian,1,37,38
724,Bird,96,303,399
724,Mammal,12,129,141
724,Reptile,9,65,74
724,fw_fish,6,57,63
725,Amphibian,1,38,39
725,Bird,97,272,369
725,Mammal,15,113,128
725,Reptile,14,66,80
725,fw_fish,10,84,94
818,Amphibian,3,16,19
818,Bird,39,325,364
818,Mammal,6,85,91
818,Reptile,9,49,58
818,fw_fish,14,24,38
819,Amphibian,4,27,31
819,Bird,37,340,377
819,Mammal,5,109,114
819,Reptile,3,65,68
819,fw_fish,27,47,74
865,Amphibian,4,26,30
865,Bird,42,344,386
865,Mammal,5,111,116
865,Reptile,7,60,67
865,fw_fish,11,70,81
866,Amphibian,3,20,23
866,Bird,59,362,421
866,Mammal,4,85,89
866,Reptile,5,55,60
866,fw_fish,6,43,49
867,Amphibian,1,5,6
867,Bird,44,273,317
867,Mammal,5,38,43
867,Reptile,10,28,38
867,fw_fish,16,51,67
868,Amphibian,3,23,26
868,Bird,49,320,369
868,Mammal,4,82,86
868,Reptile,3,53,56
868,fw_fish,7,49,56
869,Amphibian,1,6,7
869,Bird,45,281,326
869,Mammal,4,42,46
869,Reptile,11,34,45
869,fw_fish,16,52,68
1048,Amphibian,3,20,23
1048,Bird,37,331,368
1048,Mammal,7,91,98
1048,Reptile,6,52,58
1048,fw_fish,17,31,48
1049,Amphibian,4,23,27
1049,Bird,32,303,335
1049,Mammal,5,84,89
1049,Reptile,7,51,58
1049,fw_fish,14,27,41
1250,Amphibian,0,2,2
1250,Bird,29,165,194
1250,Bird,0,3,3
1250,Bird,0,1,1
1250,Mammal,12,32,44
1250,fw_fish,0,2,2
1293,Amphibian,4,24,28
1293,Bird,50,313,363
1293,Mammal,6,112,118
1293,Reptile,3,53,56
1293,fw_fish,8,52,60
1295,Amphibian,4,60,64
1295,Bird,98,302,400
1295,Mammal,14,144,158
1295,Reptile,13,77,90
1295,fw_fish,22,84,106
1332,Amphibian,3,27,30
1332,Bird,35,334,369
1332,Mammal,5,100,105
1332,Reptile,4,56,60
1332,fw_fish,13,31,44
1543,Amphibian,0,28,28
1543,Bird,65,281,346
1543,Mammal,10,132,142
1543,Reptile,6,67,73
1543,fw_fish,11,48,59
2252,Amphibian,4,18,22
2252,Bird,36,316,352
2252,Mammal,5,92,97
2252,Reptile,5,47,52
2252,fw_fish,16,27,43
2253,Amphibian,4,26,30
2253,Bird,34,321,355
2253,Mammal,5,104,109
2253,Reptile,4,58,62
2253,fw_fish,15,31,46
2254,Amphibian,4,25,29
2254,Bird,34,320,354
2254,Mammal,5,99,104
2254,Reptile,6,51,57
2254,fw_fish,16,32,48
2288,Amphibian,4,20,24
2288,Bird,40,334,374
2288,Mammal,4,86,90
2288,Reptile,4,47,51
2288,fw_fish,11,56,67
2289,Amphibian,4,22,26
2289,Bird,53,369,422
2289,Mammal,5,88,93
2289,Reptile,4,53,57
2289,fw_fish,6,46,52
2290,Amphibian,3,21,24
2290,Bird,59,362,421
2290,Mammal,4,83,87
2290,Reptile,5,52,57
2290,fw_fish,6,43,49
2293,Amphibian,1,51,52
2293,Bird,95,269,364
2293,Mammal,15,131,146
2293,Reptile,13,67,80
2293,fw_fish,13,69,82
2321,Amphibian,1,8,9
2321,Bird,42,247,289
2321,Bird,0,4,4
2321,Mammal,11,52,63
2321,fw_fish,26,43,69
2322,Amphibian,2,17,19
2322,Bird,34,272,306
2322,Mammal,0,61,61
2322,Reptile,7,39,46
2322,fw_fish,10,34,44
2324,Amphibian,2,14,16
2324,Bird,34,243,277
2324,Mammal,2,57,59
2324,Reptile,7,30,37
2324,fw_fish,7,34,41
2325,Amphibian,4,19,23
2325,Bird,35,317,352
2325,Mammal,1,74,75
2325,Reptile,5,49,54
2325,fw_fish,21,54,75
2327,Amphibian,0,5,5
2327,Bird,35,204,239
2327,Bird,0,4,4
2327,Mammal,11,42,53
2327,fw_fish,13,26,39
2328,Amphibian,2,16,18
2328,Bird,35,269,304
2328,Mammal,4,61,65
2328,Reptile,8,38,46
2328,fw_fish,10,41,51
2329,Amphibian,2,18,20
2329,Bird,35,280,315
2329,Mammal,0,62,62
2329,Reptile,6,44,50
2329,fw_fish,12,48,60
2331,Amphibian,3,15,18
2331,Bird,38,306,344
2331,Mammal,5,81,86
2331,Reptile,9,45,54
2331,fw_fish,14,25,39
2332,Amphibian,2,13,15
2332,Bird,41,261,302
2332,Mammal,5,57,62
2332,Reptile,6,37,43
2332,fw_fish,6,52,58
2333,Amphibian,1,7,8
2333,Bird,44,242,286
2333,Mammal,8,52,60
2333,Reptile,9,32,41
2333,fw_fish,12,27,39
2339,Amphibian,4,24,28
2339,Bird,32,331,363
2339,Mammal,3,104,107
2339,Reptile,3,63,66
2339,fw_fish,21,48,69
2340,Amphibian,3,29,32
2340,Bird,44,332,376
2340,Mammal,9,120,129
2340,Reptile,8,85,93
2340,fw_fish,23,61,84
2341,Amphibian,0,24,24
2341,Bird,56,297,353
2341,Mammal,8,105,113
2341,Reptile,5,71,76
2341,fw_fish,20,66,86
2342,Amphibian,4,23,27
2342,Bird,26,312,338
2342,Mammal,3,92,95
2342,Reptile,3,55,58
2342,fw_fish,25,46,71
2344,Amphibian,4,21,25
2344,Bird,33,277,310
2344,Mammal,5,74,79
2344,Reptile,5,53,58
2344,fw_fish,26,54,80
2578,,0,0,0
2580,Amphibian,4,26,30
2580,Bird,42,344,386
2580,Mammal,5,111,116
2580,Reptile,7,60,67
2580,fw_fish,11,70,81
3213,Amphibian,4,21,25
3213,Bird,34,307,341
3213,Mammal,1,74,75
3213,Reptile,8,47,55
3213,fw_fish,13,33,46
3214,Amphibian,3,21,24
3214,Bird,56,364,420
3214,Mammal,5,80,85
3214,Reptile,3,52,55
3214,fw_fish,6,47,53
3225,Amphibian,2,13,15
3225,Bird,33,221,254
3225,Bird,0,4,4
3225,Mammal,9,56,65
3225,fw_fish,13,22,35
3226,Amphibian,3,22,25
3226,Bird,36,318,354
3226,Mammal,6,92,98
3226,Reptile,6,49,55
3226,fw_fish,9,25,34
3228,Amphibian,4,23,27
3228,Bird,34,318,352
3228,Mammal,6,97,103
3228,Reptile,6,57,63
3228,fw_fish,17,31,48
3229,Amphibian,3,20,23
3229,Bird,33,309,342
3229,Mammal,6,91,97
3229,Reptile,6,52,58
3229,fw_fish,12,27,39
3230,Amphibian,0,4,4
3230,Bird,31,156,187
3230,Mammal,10,34,44
3230,Reptile,9,19,28
3230,fw_fish,0,1,1
4488,Amphibian,3,21,24
4488,Bird,34,324,358
4488,Mammal,6,91,97
4488,Reptile,6,53,59
4488,fw_fish,11,29,40
4489,Amphibian,4,22,26
4489,Bird,30,286,316
4489,Mammal,5,86,91
4489,Reptile,4,55,59
4489,fw_fish,22,45,67
5003,Amphibian,2,55,57
5003,Bird,96,273,369
5003,Mammal,14,131,145
5003,Reptile,13,69,82
5003,fw_fish,14,80,94
5150,Amphibian,0,38,38
5150,Bird,92,273,365
5150,Mammal,15,125,140
5150,Reptile,8,63,71
5150,fw_fish,9,81,90
