model_columns,xls_columns
gef_pmis_id,GEF PMIS ID
wdpa_id,WDPA ID (METT)
pa_name_mett,PA NAME (METT)
primary_biome,Primary Biome
primary_biome_area,Primary Biome Area
secondary_biome,Secondary Biome
secondary_biome_area,Secondary Biome Area
tertiary_biome,Tertiary Biome
tertiary_biome_area,Tertiary Biome Area
quaternary_biome,Quaternary Biome
quaternary_biome_area,Quaternary Biome Area
mett_original_uid,METT UID1
mett_new_uid,METT UID2
assessment_type,Assessment Type
assessment_year,Assessment Year
legal_status,Legal Status
pa_regulations,Protected Area Regulations
law_enforcement,Law Enforcement
pa_objectives,Protected Area Objectives
pa_design,Protected Area Design
pa_boundary_demarcation,Protected Area Boundary Demarcation
management_plan,Management Plan
regular_work_plan,Regular Work Plan
resource_inventory,Resource inventory
protection_systems,Protection Systems (METT3 ONLY)
research,Research
resource_management,Resource Management
staff_numbers,Staff Numbers
staff_training,Staff Training
current_budget,Current Budget
security_of_budget,Security of Budget
management_of_budget,Management of Budget
equipment,Equipment
maintenance_of_equipment,Maintenance of Equipment
education_and_awareness,Education and Awareness
planning_for_land_and_water,Planning for Land and Water Use (METT3 ONLY)
stage_and_commercial_neighbours,State and Commercial Neighbours?
indigenous_people,Indigenous People
local_communities,Local Communities
weconomic_benefit,Economic Benefit
monitoring_and_evaluation,Monitoring and Evaluation
visitor_facilities,Visitor Faciltiies
commercial_tourism_operators,Commercial Tourism Operators
fees,Fees
condition_of_values,Condition of Values
personal_management,Personnel Management (METT1 ONLY)
access_assessment,Access Assessment (METT1 ONLY)
total_mett_score,Total METT Score
total_possible_score,Total Possible Score
overall_percentage,Overall Percentage
budget_recurrent,Budget (Recurrent)
budget_project,Budget (Project)
